,Daily average,weekly average,monthly average,long term average,short term average
2019-07-27,0.07989230769230769,0.6924630967643467,2.7094172208687914,5.210996693347045,0.6924630967643467
2019-07-28,0.06186,0.68000057514245,2.721442170023159,5.245605595261048,0.68000057514245
2019-07-29,0.03560869565217391,0.5968361269044965,2.726403748504118,5.280270067338378,0.5968361269044965
2019-07-30,0.324675,0.5143264703332094,2.7391322963082954,5.3229508825259035,0.5143264703332094
2019-07-31,0.24467777777777777,0.5228401043602129,2.774815059509082,5.37167355565554,0.5228401043602129
2019-08-01,0.23568,0.6026349883872165,2.81609391183594,5.4226989453906445,0.6026349883872165
2019-08-02,0.25398,0.7671279319955405,2.8609171477606825,5.479008848802252,0.7671279319955405
2019-08-03,0.0248,0.8314033756038648,2.911289652592987,5.532169101041764,0.8314033756038648
2019-08-04,0.0,0.7933130072463768,2.9516090513328552,5.575856277937647,0.7933130072463768
2019-08-05,0.12048421052631579,0.6829686915204678,2.983309473265173,5.605228418242054,0.6829686915204678
2019-08-06,0.35206,0.5425515497076023,3.026436425868576,5.627394474113152,0.5425515497076023
2019-08-07,0.1451,0.5071781578947367,3.0729784949249694,5.652875653000127,0.5071781578947367
2019-08-08,0.20904615384615385,0.5852357489878542,3.1056117018018754,5.681790166966143,0.5852357489878542
2019-08-09,0.25326,0.7252862348178137,3.126576491096364,5.71397192762737,0.7252862348178137
2019-08-10,0.1864,0.7994017206477733,3.148580566105138,5.747608664719571,0.7994017206477733
2019-08-11,0.059199999999999996,0.8219672064777327,3.1776059565901043,5.779548505868212,0.8219672064777327
2019-08-12,0.24511176470588233,0.801287556561086,3.2034193879875876,5.811666559000221,0.801287556561086
2019-08-13,0.18346666666666667,0.7299656259426848,3.2206439019642565,5.847835546269985,0.7299656259426848
2019-08-14,0.15979047619047618,0.6934063143719025,3.2368387588642067,5.890498824300845,0.6934063143719025
2019-08-15,0.17298260869565218,0.7067676549750336,3.249328023904827,5.939421536608215,0.7067676549750336
