Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-07-31,196.07000732421875,10863400,0.23,0.25,0.25,2.9677875,17.514883750000003,1.765911177502642,-3.5905586178107343,-2.065590299622323,10.644154810825887
2020-08-03,197.07000732421875,7958700,0.23,0.25,0.25,2.2962,17.65226375,1.765911177502642,-2.9177448552788268,-1.304108808394463,6.967065112526499
2020-08-04,197.3300018310547,5771600,0.23,0.25,0.25,1.7006125,17.731808750000003,1.765911177502642,-2.158817446565048,-0.15203114020880718,9.12684049040617
2020-08-05,202.91000366210938,7565800,0.23,0.25,0.25,1.28605,17.75351875,1.765911177502642,-5.642894259323458,-2.942191667713197,5.495043958035497
2020-08-06,204.08999633789062,5821400,0.23,0.25,0.25,1.0525125,17.717393750000003,1.765911177502642,-3.821844868302196,-5.967951832198625,8.182663162281475
2020-08-07,198.6300048828125,6525300,0.23,0.25,0.25,1.0,17.63119375,1.765911177502642,-2.044000130286994,-0.8961379124705077,11.56421520215685
2020-08-10,193.32000732421875,8792200,0.23,0.25,0.25,1.0,17.50267875,1.765911177502642,-0.4552063156798022,-0.8586817707519366,19.07717164637371
2020-08-11,189.02999877929688,9155300,0.23,0.25,0.25,1.0,17.33184875,1.765911177502642,4.840498310094953,2.9519133825788577,24.58868752456963
2020-08-12,191.32000732421875,7936600,0.23,0.25,0.25,1.0,17.11870375,1.765911177502642,2.8590768097998236,0.9094659041206874,23.58874550299609
2020-08-13,193.07000732421875,10082400,0.23,0.25,0.25,1.0,16.838746250000003,1.765911177502642,3.009269870092838,2.175375143167206,23.12632320021851
2020-08-14,191.4600067138672,4848000,0.23,0.25,0.25,1.0,16.467478750000005,1.765911177502642,5.33270192053045,5.249131641360624,27.175387524693136
2020-08-17,196.2899932861328,6279300,0.23,0.25,0.25,1.0,16.027048750000002,1.765911177502642,3.662949048515847,5.833212389151465,21.982785995806456
2020-08-18,194.57000732421875,5362500,0.23,0.25,0.25,1.0,15.539603750000001,1.765911177502642,5.021323249164402,4.641002435822417,22.649941104229047
2020-08-19,192.44000244140625,6865300,0.23,0.25,0.25,1.0,15.00514375,1.765911177502642,6.256491962890458,5.560172943512668,22.495319443426858
2020-08-20,198.17999267578125,6773000,0.23,0.25,0.25,1.0,14.423668750000001,1.765911177502642,3.0073705389714323,3.163792766265032,16.575843837706472
2020-08-21,196.7899932861328,6092500,0.23,0.25,0.25,1.0,13.80058375,1.765911177502642,6.169012553395877,1.6616720280620774,17.643174147691667
2020-08-24,198.8800048828125,5404100,0.23,0.25,0.25,1.0,13.14129375,1.765911177502642,6.00362135371112,1.5486734490325154,17.75944851079501
2020-08-25,201.6699981689453,5108200,0.23,0.25,0.25,1.0,12.44579875,1.765911177502642,1.6462574276603619,5.652803718341531,14.999752206403366
2020-08-26,203.47999572753903,6072200,0.23,0.25,0.25,1.0,11.73980125,1.765911177502642,-5.720463747814522,0.22115046082700168,15.446239726019709
2020-08-27,204.33999633789062,6051900,0.23,0.25,0.25,1.0,11.05950625,1.765911177502642,-8.999706234328826,-0.6361960825369526,11.006169079094652
2020-08-28,204.47999572753903,4580300,0.23,0.25,0.25,1.0,10.41541625,1.765911177502642,-4.831763414739164,-3.550466871345961,14.945226035369096
