,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-09-14,276.2900085449219,271.760009765625,275.3599853515625,274.1000061035156,7883300.0,274.1000061035156,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.1021520514637025,11.552332988776504,-6.5375904471530815
2020-09-15,279.1000061035156,274.79998779296875,278.0,277.9599914550781,8291400.0,277.9599914550781,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.9605637473865564,10.94082798782062,-7.88962201393844
2020-09-16,283.6050109863281,278.0,281.0299987792969,278.1400146484375,9583500.0,278.1400146484375,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-1.86596755880893,10.329322986864737,-8.28000748730647
2020-09-17,275.8999938964844,272.3210144042969,273.1099853515625,275.7200012207031,8016900.0,275.7200012207031,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-2.172490282843226,15.022491384141286,-5.015953326213451
2020-09-18,277.2699890136719,270.54998779296875,275.9800109863281,272.4100036621094,11753500.0,272.4100036621094,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.48456639127542994,13.04283921355818,-2.929411871462082
2020-09-19,276.2533264160156,269.1666564941406,273.6866760253906,272.8800048828125,10861133.333333334,272.8800048828125,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,-0.056445475416130986,13.210602745554086,-3.546546299423694
2020-09-20,275.2366638183594,267.7833251953125,271.3933410644531,273.3500061035156,9968766.666666666,273.3500061035156,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.37167544044316797,13.378366277549993,-4.163680727385305
2020-09-21,274.2200012207031,266.3999938964844,269.1000061035156,273.82000732421875,9076400.0,273.82000732421875,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.799796356302467,13.5461298095459,-4.780815155346917
2020-09-22,276.32000732421875,270.04998779296875,276.0199890136719,275.2900085449219,9673300.0,275.2900085449219,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.5957296232898921,13.713893341541807,-5.397949583308529
2020-09-23,277.8299865722656,271.5,275.3999938964844,272.95001220703125,7353200.0,272.95001220703125,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,7.7047070301450375,13.881656873537713,-6.272214548571303
2020-09-24,271.25,267.3340148925781,267.92999267578125,269.7300109863281,9562100.0,269.7300109863281,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,7.5334504797356745,5.872537608984678,-5.023548644438267
2020-09-25,271.80999755859375,264.55999755859375,267.57000732421875,271.0899963378906,11466600.0,271.0899963378906,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,6.3004970012080275,9.081853056097566,-18.10837618541413
2020-09-26,274.15333048502606,267.7730000813802,270.2233378092448,272.73000081380206,10564966.666666666,272.73000081380206,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,5.680951458321559,7.030771778975554,-18.507616728008326
2020-09-27,276.4966634114583,270.9860026041667,272.8766682942708,274.37000528971356,9663333.333333334,274.37000528971356,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,5.061405915435089,4.9796905018535425,-18.906857270602522
2020-09-28,278.8399963378906,274.1990051269531,275.5299987792969,276.010009765625,8761700.0,276.010009765625,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,4.4418603725486205,2.928609224731531,-19.30609781319672
2020-09-29,279.29998779296875,274.8999938964844,275.42999267578125,276.92999267578125,7673300.0,276.92999267578125,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,5.582646293843743,0.8775279476095186,-19.705338355790914
2020-09-30,295.0,283.7099914550781,284.010009765625,293.9800109863281,24777700.0,293.9800109863281,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,0.8571974010127749,-1.1735533295124942,-19.633993578623453
2020-10-01,295.5899963378906,288.25,295.260009765625,290.04998779296875,16304000.0,290.04998779296875,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,3.616625131334489,-8.105492238402636,-17.810719040675867
2020-10-02,291.97900390625,286.510009765625,286.6199951171875,288.1700134277344,11482800.0,288.1700134277344,0.13,3.3561000000000005,0.6712200000000001,0.0,0.0,0.0,4.014982915473291,-7.814837936597953,-19.238649101877577
